pc1,pc2,pc3,pc4,label,label_name,filename,source_dataset,split
0.95328283,1.808572,1.338308,1.7779182,2,malignant,Preprocessed_Dataset/ddsm/ddsm_3846.jpg,ddsm,train
2.3135848,0.47163725,0.63760054,2.353628,2,malignant,Preprocessed_Dataset/cmmd/cmmd_2094.jpg,cmmd,train
0.93128955,2.3125129,0.5329424,2.0030646,0,normal,Preprocessed_Dataset/ddsm/ddsm_1906.jpg,ddsm,train
0.9001901,2.0478988,0.16259629,2.139801,0,normal,Preprocessed_Dataset/ddsm/ddsm_1186.jpg,ddsm,train
0.42579615,1.593616,2.387527,2.858271,1,benign,Preprocessed_Dataset/ddsm/ddsm_6501.jpg,ddsm,train
1.2403952,2.667698,0.3733241,1.9453946,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5402.jpg,ddsm,train
2.6617312,1.0120703,1.0869517,2.0740554,1,benign,Preprocessed_Dataset/cmmd/cmmd_2373.jpg,cmmd,train
0.31005335,1.2067616,1.553762,2.6167588,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5117.jpg,ddsm,train
0.6229468,2.579122,1.1798748,1.0172043,0,normal,Preprocessed_Dataset/ddsm/ddsm_750.jpg,ddsm,train
0.4003706,2.4791832,1.1444684,1.4798503,1,benign,Preprocessed_Dataset/ddsm/ddsm_10359.jpg,ddsm,train
2.214968,1.7479751,0.69020915,2.3043034,2,malignant,Preprocessed_Dataset/cmmd/cmmd_4088.jpg,cmmd,train
1.8007834,1.1901083,1.2452505,0.8489853,1,benign,Preprocessed_Dataset/cdd-cesm/cdd-cesm_465.jpg,cdd-cesm,train
0.52503157,1.1339016,0.27933902,2.010992,2,malignant,Preprocessed_Dataset/ddsm/ddsm_3837.jpg,ddsm,train
2.2649493,1.408274,1.8801714,0.5105767,0,normal,Preprocessed_Dataset/cdd-cesm/cdd-cesm_213.jpg,cdd-cesm,train
1.3701253,2.7509437,0.58401144,1.5531358,2,malignant,Preprocessed_Dataset/ddsm/ddsm_6231.jpg,ddsm,train
0.72355413,1.5518796,1.3608565,1.415844,2,malignant,Preprocessed_Dataset/ddsm/ddsm_4909.jpg,ddsm,train
1.3778387,0.703871,0.5409726,2.1313055,1,benign,Preprocessed_Dataset/inbreast/inbreast_57.jpg,inbreast,train
0.48857105,0.9605887,0.54993874,1.5574915,0,normal,Preprocessed_Dataset/ddsm/ddsm_2233.jpg,ddsm,train
2.5045533,1.5844767,0.9225789,2.3266625,2,malignant,Preprocessed_Dataset/cmmd/cmmd_262.jpg,cmmd,train
0.68799573,0.46237993,1.164317,2.289752,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5817.jpg,ddsm,train
0.6088878,1.0576344,0.65448844,1.7435555,2,malignant,Preprocessed_Dataset/ddsm/ddsm_4328.jpg,ddsm,train
2.8504968,1.9004052,1.0998805,1.825356,2,malignant,Preprocessed_Dataset/cmmd/cmmd_1253.jpg,cmmd,train
2.3781528,0.5773483,1.1112802,1.971732,2,malignant,Preprocessed_Dataset/cmmd/cmmd_3226.jpg,cmmd,train
1.042536,0.67250395,1.9860154,0.85887516,2,malignant,Preprocessed_Dataset/ddsm/ddsm_4121.jpg,ddsm,train
0.7143016,2.045779,0.3222962,2.286858,2,malignant,Preprocessed_Dataset/ddsm/ddsm_4730.jpg,ddsm,train
0.6399659,1.2990932,1.0075797,1.1776958,2,malignant,Preprocessed_Dataset/ddsm/ddsm_4156.jpg,ddsm,train
2.668984,1.9569529,0.8516388,2.0976615,2,malignant,Preprocessed_Dataset/cmmd/cmmd_1139.jpg,cmmd,train
2.6837256,1.8257362,0.9655323,2.1046698,2,malignant,Preprocessed_Dataset/cmmd/cmmd_4336.jpg,cmmd,train
0.6748994,2.291154,0.35489738,2.2110424,1,benign,Preprocessed_Dataset/ddsm/ddsm_7035.jpg,ddsm,train
1.0427338,0.49974328,1.0418574,1.3453178,2,malignant,Preprocessed_Dataset/ddsm/ddsm_4952.jpg,ddsm,train
0.533066,2.693136,1.7720343,2.636878,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5211.jpg,ddsm,train
0.1909672,1.1118395,0.6251951,1.5601869,0,normal,Preprocessed_Dataset/ddsm/ddsm_1705.jpg,ddsm,train
1.5651906,2.9548378,1.0419879,0.9834597,0,normal,Preprocessed_Dataset/cdd-cesm/cdd-cesm_828.jpg,cdd-cesm,train
0.7001995,2.6334734,0.536602,2.095048,0,normal,Preprocessed_Dataset/ddsm/ddsm_2166.jpg,ddsm,train
2.165092,0.4794494,0.7576654,2.0436099,2,malignant,Preprocessed_Dataset/cmmd/cmmd_4745.jpg,cmmd,train
0.85065985,0.91385067,0.5843703,1.4961774,0,normal,Preprocessed_Dataset/ddsm/ddsm_232.jpg,ddsm,train
0.40682894,1.2937521,1.6492817,2.035077,2,malignant,Preprocessed_Dataset/ddsm/ddsm_3149.jpg,ddsm,train
1.0725653,2.2451737,0.38639915,2.1007404,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5623.jpg,ddsm,train
1.0351136,1.4249644,0.083167374,2.164869,1,benign,Preprocessed_Dataset/ddsm/ddsm_8920.jpg,ddsm,train
0.7818719,1.9832835,2.294853,2.2665648,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5423.jpg,ddsm,train
0.835961,1.5652202,0.5065544,1.8148565,0,normal,Preprocessed_Dataset/ddsm/ddsm_1866.jpg,ddsm,train
2.5498333,2.7847285,1.5806595,0.97881174,0,normal,Preprocessed_Dataset/cdd-cesm/cdd-cesm_95.jpg,cdd-cesm,train
0.749113,2.2291136,1.3105478,2.224272,1,benign,Preprocessed_Dataset/ddsm/ddsm_10018.jpg,ddsm,train
0.59789294,2.2601287,1.4712442,2.5400033,1,benign,Preprocessed_Dataset/ddsm/ddsm_6907.jpg,ddsm,train
0.7368393,0.8585208,0.35393512,1.58624,1,benign,Preprocessed_Dataset/ddsm/ddsm_9800.jpg,ddsm,train
0.9339965,1.8442273,2.8492196,2.2174582,1,benign,Preprocessed_Dataset/ddsm/ddsm_10111.jpg,ddsm,train
0.49808788,1.4262419,1.7119007,2.1609523,2,malignant,Preprocessed_Dataset/ddsm/ddsm_6310.jpg,ddsm,train
0.7584084,2.2921336,0.2682029,2.5879872,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5834.jpg,ddsm,train
2.482014,1.802132,0.91286546,2.437031,1,benign,Preprocessed_Dataset/cmmd/cmmd_3894.jpg,cmmd,train
0.20989037,0.86960477,0.2732374,1.932229,1,benign,Preprocessed_Dataset/ddsm/ddsm_6964.jpg,ddsm,train
0.6736475,2.0033636,0.48068935,2.473139,0,normal,Preprocessed_Dataset/ddsm/ddsm_1975.jpg,ddsm,train
0.7972543,1.5247154,0.46051413,1.9558911,0,normal,Preprocessed_Dataset/ddsm/ddsm_2607.jpg,ddsm,train
1.7765615,0.6215982,1.534764,1.851194,1,benign,Preprocessed_Dataset/dmid/dmid_287.jpg,dmid,train
0.87101734,0.59677,0.4956135,2.0618322,1,benign,Preprocessed_Dataset/ddsm/ddsm_6789.jpg,ddsm,train
0.9999491,2.7788873,0.58088315,1.4818531,0,normal,Preprocessed_Dataset/ddsm/ddsm_1795.jpg,ddsm,train
1.3244606,1.5639173,0.53011656,2.0392263,0,normal,Preprocessed_Dataset/ddsm/ddsm_1662.jpg,ddsm,train
2.1885982,2.7519479,1.9156332,0.582891,1,benign,Preprocessed_Dataset/cdd-cesm/cdd-cesm_32.jpg,cdd-cesm,train
1.3718436,2.3400917,0.7199237,1.1955476,0,normal,Preprocessed_Dataset/ddsm/ddsm_2322.jpg,ddsm,train
0.53476316,1.9705464,1.6544101,1.5049055,2,malignant,Preprocessed_Dataset/ddsm/ddsm_2998.jpg,ddsm,train
0.8306754,0.9171524,0.21831357,2.051002,2,malignant,Preprocessed_Dataset/ddsm/ddsm_4653.jpg,ddsm,train
0.5840638,1.9709083,1.6032277,3.033346,1,benign,Preprocessed_Dataset/ddsm/ddsm_9126.jpg,ddsm,train
2.5041084,2.202,1.1559937,2.276592,1,benign,Preprocessed_Dataset/cmmd/cmmd_30.jpg,cmmd,train
0.73965526,2.1041546,0.18283582,2.1045322,0,normal,Preprocessed_Dataset/ddsm/ddsm_51.jpg,ddsm,train
0.6613528,2.4244645,1.01087,1.9866141,1,benign,Preprocessed_Dataset/ddsm/ddsm_8250.jpg,ddsm,train
2.5839953,1.470228,0.8098015,1.989702,2,malignant,Preprocessed_Dataset/cmmd/cmmd_1132.jpg,cmmd,train
0.43699896,1.5897188,1.9030472,2.7884054,1,benign,Preprocessed_Dataset/ddsm/ddsm_6834.jpg,ddsm,train
0.70277315,1.3263394,1.71263,1.9771132,1,benign,Preprocessed_Dataset/ddsm/ddsm_8921.jpg,ddsm,train
1.1443533,2.220116,2.0275755,2.1592302,1,benign,Preprocessed_Dataset/ddsm/ddsm_9562.jpg,ddsm,train
0.6852209,1.835886,1.953176,2.7585728,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5723.jpg,ddsm,train
0.73099786,1.371753,0.48468593,1.2509497,0,normal,Preprocessed_Dataset/ddsm/ddsm_1004.jpg,ddsm,train
1.1937397,1.4465747,0.52295977,1.6283517,0,normal,Preprocessed_Dataset/ddsm/ddsm_1993.jpg,ddsm,train
0.45338166,2.021905,0.3108214,1.8944683,1,benign,Preprocessed_Dataset/ddsm/ddsm_7354.jpg,ddsm,train
0.6470363,1.1421684,0.6683787,1.414129,1,benign,Preprocessed_Dataset/ddsm/ddsm_9300.jpg,ddsm,train
0.4805451,0.58128715,1.4399314,2.0579505,1,benign,Preprocessed_Dataset/ddsm/ddsm_9957.jpg,ddsm,train
0.6777837,2.305184,1.7471497,3.027234,1,benign,Preprocessed_Dataset/ddsm/ddsm_7123.jpg,ddsm,train
0.5101048,0.8926771,1.2168903,2.3889892,1,benign,Preprocessed_Dataset/ddsm/ddsm_8253.jpg,ddsm,train
0.90550125,2.0418801,0.3948775,2.0387032,1,benign,Preprocessed_Dataset/ddsm/ddsm_7883.jpg,ddsm,train
2.6611953,0.6088391,1.2370794,1.536851,2,malignant,Preprocessed_Dataset/cmmd/cmmd_3040.jpg,cmmd,train
0.55578166,2.3229876,0.3739915,2.050168,0,normal,Preprocessed_Dataset/ddsm/ddsm_670.jpg,ddsm,train
2.6088593,0.5904959,0.97816175,1.9654131,2,malignant,Preprocessed_Dataset/cmmd/cmmd_2988.jpg,cmmd,train
2.6094298,0.6214455,0.95932555,1.8092991,2,malignant,Preprocessed_Dataset/cmmd/cmmd_2675.jpg,cmmd,train
0.69194245,1.0661664,0.7105345,2.2882109,0,normal,Preprocessed_Dataset/ddsm/ddsm_38.jpg,ddsm,train
0.8894318,1.0643594,0.47699744,1.891291,0,normal,Preprocessed_Dataset/ddsm/ddsm_1989.jpg,ddsm,train
0.40542042,2.3150327,0.32364243,1.8989471,2,malignant,Preprocessed_Dataset/ddsm/ddsm_3682.jpg,ddsm,train
0.75258744,1.7439313,0.6039563,1.932525,0,normal,Preprocessed_Dataset/ddsm/ddsm_1479.jpg,ddsm,train
0.3698271,1.158268,1.7583301,1.5080998,1,benign,Preprocessed_Dataset/ddsm/ddsm_7948.jpg,ddsm,train
2.770845,0.60825545,1.1381072,1.8364285,1,benign,Preprocessed_Dataset/cmmd/cmmd_2479.jpg,cmmd,train
2.818078,2.1156905,1.1892854,1.8264382,2,malignant,Preprocessed_Dataset/cmmd/cmmd_4079.jpg,cmmd,train
2.5409,1.9652159,0.8338694,2.231089,2,malignant,Preprocessed_Dataset/cmmd/cmmd_292.jpg,cmmd,train
0.7343024,1.5947095,0.29687315,1.6074973,0,normal,Preprocessed_Dataset/ddsm/ddsm_2121.jpg,ddsm,train
2.1194682,2.3215802,1.4802382,0.86188555,0,normal,Preprocessed_Dataset/cdd-cesm/cdd-cesm_579.jpg,cdd-cesm,train
0.6567585,1.7309319,2.07347,1.4943191,2,malignant,Preprocessed_Dataset/ddsm/ddsm_6194.jpg,ddsm,train
0.046304584,0.9491069,1.5086417,1.631923,1,benign,Preprocessed_Dataset/ddsm/ddsm_7224.jpg,ddsm,train
0.52121663,1.1120356,0.4237485,2.1051204,0,normal,Preprocessed_Dataset/ddsm/ddsm_2317.jpg,ddsm,train
0.38323402,0.5587267,2.6079898,2.1200385,2,malignant,Preprocessed_Dataset/ddsm/ddsm_4361.jpg,ddsm,train
0.9361197,1.1344981,0.15222031,2.110939,1,benign,Preprocessed_Dataset/inbreast/inbreast_108.jpg,inbreast,train
1.1950446,2.522142,0.5138115,1.982348,0,normal,Preprocessed_Dataset/ddsm/ddsm_1147.jpg,ddsm,train
0.57296747,1.7527119,0.08240348,2.631348,0,normal,Preprocessed_Dataset/ddsm/ddsm_2770.jpg,ddsm,train
0.87125057,2.3472035,0.7593936,1.314116,0,normal,Preprocessed_Dataset/ddsm/ddsm_423.jpg,ddsm,train
2.051012,0.45418024,0.800864,1.7008005,1,benign,Preprocessed_Dataset/inbreast/inbreast_406.jpg,inbreast,train
0.90966666,1.6718954,0.6851188,2.1721592,0,normal,Preprocessed_Dataset/ddsm/ddsm_2642.jpg,ddsm,train
