pc1,pc2,pc3,pc4,label,label_name,filename,source_dataset,split
2.5246534,0.08088267,1.3694866,1.7668924,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_982.jpg,kau-bcmd,train
1.6799197,2.3097234,0.42881137,2.5062516,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_815.jpg,kau-bcmd,train
0.65870905,2.02965,0.5401427,1.8941461,0,normal,Preprocessed_Dataset/ddsm/ddsm_487.jpg,ddsm,train
1.741161,1.743544,0.41703945,2.3350441,0,normal,Preprocessed_Dataset/inbreast/inbreast_393.jpg,inbreast,train
0.0,1.1442498,1.0699078,1.324474,2,malignant,Preprocessed_Dataset/ddsm/ddsm_4056.jpg,ddsm,train
0.76140827,1.1460145,0.42132705,1.9027374,1,benign,Preprocessed_Dataset/ddsm/ddsm_7181.jpg,ddsm,train
0.83632684,2.546135,0.5074624,2.0687387,2,malignant,Preprocessed_Dataset/ddsm/ddsm_3343.jpg,ddsm,train
2.4844365,0.47497106,0.9822443,2.4201365,2,malignant,Preprocessed_Dataset/cmmd/cmmd_1846.jpg,cmmd,train
0.8310837,2.451841,1.7084386,2.1870804,1,benign,Preprocessed_Dataset/ddsm/ddsm_7991.jpg,ddsm,train
2.4160004,0.5165193,1.0923834,2.0339072,2,malignant,Preprocessed_Dataset/cmmd/cmmd_3000.jpg,cmmd,train
0.6195038,2.0946574,1.5320663,3.1345427,1,benign,Preprocessed_Dataset/ddsm/ddsm_9126.jpg,ddsm,train
1.6042374,1.3748087,0.3806513,2.9740808,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_210.jpg,kau-bcmd,train
0.75623155,1.6878633,0.31514883,1.5931236,0,normal,Preprocessed_Dataset/ddsm/ddsm_2121.jpg,ddsm,train
0.7383207,1.1794299,0.7100637,2.371805,0,normal,Preprocessed_Dataset/ddsm/ddsm_38.jpg,ddsm,train
0.6829493,2.185049,0.38720936,2.1190052,0,normal,Preprocessed_Dataset/ddsm/ddsm_1251.jpg,ddsm,train
1.7457998,1.3631023,0.44738615,3.1415927,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_591.jpg,kau-bcmd,train
1.0040519,1.8756918,0.49556568,1.7187362,1,benign,Preprocessed_Dataset/ddsm/ddsm_7369.jpg,ddsm,train
2.0170097,2.5809412,0.9873172,1.3191919,0,normal,Preprocessed_Dataset/cdd-cesm/cdd-cesm_157.jpg,cdd-cesm,train
2.0933433,2.9111738,1.3744332,1.3069856,1,benign,Preprocessed_Dataset/cdd-cesm/cdd-cesm_7.jpg,cdd-cesm,train
1.6101092,1.4568905,1.7237995,0.7235993,2,malignant,Preprocessed_Dataset/cdd-cesm/cdd-cesm_300.jpg,cdd-cesm,train
0.31473768,1.0507805,2.1096637,2.9845076,1,benign,Preprocessed_Dataset/ddsm/ddsm_8817.jpg,ddsm,train
0.51497364,1.7242837,1.7177813,3.0262055,1,benign,Preprocessed_Dataset/ddsm/ddsm_6571.jpg,ddsm,train
2.3775282,0.5490507,1.1437548,2.390113,1,benign,Preprocessed_Dataset/cmmd/cmmd_2411.jpg,cmmd,train
0.65970397,1.7944369,0.9838449,0.6011125,0,normal,Preprocessed_Dataset/ddsm/ddsm_660.jpg,ddsm,train
0.61418176,1.9801071,1.1783524,3.052914,1,benign,Preprocessed_Dataset/ddsm/ddsm_6770.jpg,ddsm,train
0.6965727,1.4093529,1.7513806,2.0820017,1,benign,Preprocessed_Dataset/ddsm/ddsm_8921.jpg,ddsm,train
0.53294426,2.6585536,1.8637433,2.9435163,1,benign,Preprocessed_Dataset/ddsm/ddsm_9330.jpg,ddsm,train
0.3376633,1.5823941,2.020006,2.8242705,1,benign,Preprocessed_Dataset/ddsm/ddsm_8646.jpg,ddsm,train
2.6559813,2.1332965,1.6537814,2.080771,2,malignant,Preprocessed_Dataset/cmmd/cmmd_741.jpg,cmmd,train
0.4353459,1.7318165,2.3247833,2.9998841,1,benign,Preprocessed_Dataset/ddsm/ddsm_6501.jpg,ddsm,train
2.4249706,1.9838741,0.9909117,2.5523922,1,benign,Preprocessed_Dataset/cmmd/cmmd_358.jpg,cmmd,train
1.9584548,2.260619,0.584013,2.0884514,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_659.jpg,kau-bcmd,train
0.8945892,2.1556587,1.8355939,2.1250923,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5174.jpg,ddsm,train
2.5857787,1.0661637,1.0869538,2.1849368,2,malignant,Preprocessed_Dataset/cmmd/cmmd_2486.jpg,cmmd,train
0.87105334,1.1959493,1.34397,1.8433414,2,malignant,Preprocessed_Dataset/ddsm/ddsm_4917.jpg,ddsm,train
2.4015508,2.0299037,1.3310108,1.9638572,2,malignant,Preprocessed_Dataset/cmmd/cmmd_3828.jpg,cmmd,train
0.59123254,0.9078771,1.2763216,2.2693157,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5885.jpg,ddsm,train
0.7894286,1.1834164,0.49266213,1.8549649,0,normal,Preprocessed_Dataset/ddsm/ddsm_2309.jpg,ddsm,train
0.71202934,1.9829382,0.4036954,1.8605711,1,benign,Preprocessed_Dataset/ddsm/ddsm_8627.jpg,ddsm,train
0.77386504,0.9147262,0.44069314,2.1340256,0,normal,Preprocessed_Dataset/ddsm/ddsm_2289.jpg,ddsm,train
1.072693,1.9808061,0.66969484,2.5207136,1,benign,Preprocessed_Dataset/ddsm/ddsm_7726.jpg,ddsm,train
0.4934044,1.6129119,2.116928,2.3567631,2,malignant,Preprocessed_Dataset/ddsm/ddsm_3501.jpg,ddsm,train
1.5826201,2.3287008,1.073017,1.2403622,0,normal,Preprocessed_Dataset/ddsm/ddsm_803.jpg,ddsm,train
1.7251754,1.2172365,0.8161701,2.152345,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_1949.jpg,kau-bcmd,train
0.6446982,2.4527416,1.3866471,1.7100519,2,malignant,Preprocessed_Dataset/ddsm/ddsm_4711.jpg,ddsm,train
0.597439,1.9213791,0.41817915,2.0059955,0,normal,Preprocessed_Dataset/ddsm/ddsm_395.jpg,ddsm,train
1.482594,1.7024934,0.49818763,2.3961108,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_2010.jpg,kau-bcmd,train
2.0782275,0.17131174,0.68940884,2.2234168,2,malignant,Preprocessed_Dataset/cmmd/cmmd_3161.jpg,cmmd,train
0.77392954,0.91632843,0.3976162,1.6270826,1,benign,Preprocessed_Dataset/ddsm/ddsm_9800.jpg,ddsm,train
2.5701308,1.6754544,0.7460249,2.2260466,2,malignant,Preprocessed_Dataset/cmmd/cmmd_1641.jpg,cmmd,train
1.2037536,1.9652789,0.8417015,1.2180276,1,benign,Preprocessed_Dataset/cdd-cesm/cdd-cesm_927.jpg,cdd-cesm,train
2.471812,0.7725468,0.8881527,2.6448889,1,benign,Preprocessed_Dataset/cmmd/cmmd_2289.jpg,cmmd,train
0.5125281,1.0746398,0.5636358,1.5373017,0,normal,Preprocessed_Dataset/ddsm/ddsm_2233.jpg,ddsm,train
2.4420915,2.3457341,0.7207266,2.5296865,2,malignant,Preprocessed_Dataset/cmmd/cmmd_3948.jpg,cmmd,train
1.577937,1.8668048,0.25879383,2.9593382,1,benign,Preprocessed_Dataset/inbreast/inbreast_395.jpg,inbreast,train
0.38626683,1.6932521,2.891665,2.2278078,1,benign,Preprocessed_Dataset/ddsm/ddsm_9882.jpg,ddsm,train
0.7851602,0.8151812,0.6338145,1.5074341,0,normal,Preprocessed_Dataset/ddsm/ddsm_309.jpg,ddsm,train
1.2105495,1.3894107,0.6847255,1.6464669,0,normal,Preprocessed_Dataset/ddsm/ddsm_1825.jpg,ddsm,train
1.2518361,2.684909,0.53492737,1.848515,0,normal,Preprocessed_Dataset/ddsm/ddsm_1775.jpg,ddsm,train
2.5252776,0.48796046,1.0669633,1.973044,2,malignant,Preprocessed_Dataset/cmmd/cmmd_2753.jpg,cmmd,train
2.3584466,0.794851,1.3682522,1.730948,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_1791.jpg,kau-bcmd,train
1.7378721,0.64294094,0.7358818,2.3783836,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_704.jpg,kau-bcmd,train
0.39581835,0.955964,2.741134,1.636627,2,malignant,Preprocessed_Dataset/ddsm/ddsm_4633.jpg,ddsm,train
1.1301961,1.3678896,0.25859725,2.7049136,1,benign,Preprocessed_Dataset/kau-bcmd/kau-bcmd_529.jpg,kau-bcmd,train
0.94304824,1.7231988,0.3018347,2.620285,1,benign,Preprocessed_Dataset/inbreast/inbreast_73.jpg,inbreast,train
2.167113,1.9336373,0.77101874,2.7190678,1,benign,Preprocessed_Dataset/dmid/dmid_459.jpg,dmid,train
1.0541335,1.059556,0.39885306,2.0888505,0,normal,Preprocessed_Dataset/ddsm/ddsm_1944.jpg,ddsm,train
2.598104,2.1898422,1.1566651,2.1764386,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_1790.jpg,kau-bcmd,train
0.94395876,0.9093924,1.7007596,1.93463,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5996.jpg,ddsm,train
2.327114,0.81688386,0.7245806,2.646492,2,malignant,Preprocessed_Dataset/cmmd/cmmd_5186.jpg,cmmd,train
0.41318154,1.3730679,1.5530902,2.834709,2,malignant,Preprocessed_Dataset/ddsm/ddsm_2897.jpg,ddsm,train
2.4910226,0.47461474,1.1678123,2.0635693,1,benign,Preprocessed_Dataset/cmmd/cmmd_4378.jpg,cmmd,train
2.552898,1.880255,0.9037523,2.2114842,2,malignant,Preprocessed_Dataset/cmmd/cmmd_4033.jpg,cmmd,train
0.8077377,2.3747547,0.24579251,2.5489087,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5834.jpg,ddsm,train
2.085589,2.1151671,0.8655987,2.1165974,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_1144.jpg,kau-bcmd,train
1.0517471,2.4465415,1.5985322,2.5217829,1,benign,Preprocessed_Dataset/ddsm/ddsm_10099.jpg,ddsm,train
2.2866383,1.2450378,1.3295128,2.7511582,1,benign,Preprocessed_Dataset/kau-bcmd/kau-bcmd_1338.jpg,kau-bcmd,train
2.1447647,1.53954,0.8555327,2.2975855,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_2170.jpg,kau-bcmd,train
2.7307053,1.8831635,0.870128,2.4577882,2,malignant,Preprocessed_Dataset/cmmd/cmmd_57.jpg,cmmd,train
