pc1,pc2,pc3,pc4,label,label_name,filename,source_dataset,split
1.5219204,1.1280482,1.5002531,1.1976411,1,benign,Preprocessed_Dataset/cmmd/cmmd_2170.jpg,cmmd,train
2.3848677,1.5607442,1.9048579,1.0150673,1,benign,Preprocessed_Dataset/ddsm/ddsm_9459.jpg,ddsm,train
2.3498034,1.7099593,2.120881,0.89820373,1,benign,Preprocessed_Dataset/ddsm/ddsm_7149.jpg,ddsm,train
2.7977505,1.2657619,1.8124907,0.26204467,1,benign,Preprocessed_Dataset/cmmd/cmmd_2248.jpg,cmmd,train
1.6662608,0.4258951,0.72206306,1.4636856,0,normal,Preprocessed_Dataset/ddsm/ddsm_921.jpg,ddsm,train
1.9605075,1.1568168,1.5358565,1.2724954,2,malignant,Preprocessed_Dataset/ddsm/ddsm_6261.jpg,ddsm,train
2.3567543,0.6853476,1.1412061,1.5533499,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_2171.jpg,kau-bcmd,train
2.3922582,0.6940938,1.1526072,1.6109985,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_42.jpg,kau-bcmd,train
0.72124696,1.5049479,1.5241138,2.2642808,2,malignant,Preprocessed_Dataset/ddsm/ddsm_4015.jpg,ddsm,train
1.6338395,0.3511343,0.73801637,1.5393386,0,normal,Preprocessed_Dataset/ddsm/ddsm_2031.jpg,ddsm,train
0.33586776,1.2361909,1.4519752,2.028762,2,malignant,Preprocessed_Dataset/cmmd/cmmd_4336.jpg,cmmd,train
2.7150815,2.2509823,2.613988,1.5340797,1,benign,Preprocessed_Dataset/kau-bcmd/kau-bcmd_80.jpg,kau-bcmd,train
2.718411,1.2193174,1.7282181,0.24384391,1,benign,Preprocessed_Dataset/cmmd/cmmd_692.jpg,cmmd,train
2.1558988,1.5679833,2.643753,1.7478739,1,benign,Preprocessed_Dataset/inbreast/inbreast_406.jpg,inbreast,train
2.4700174,1.6824288,1.9530367,0.9101289,1,benign,Preprocessed_Dataset/ddsm/ddsm_9948.jpg,ddsm,train
2.4983108,1.63252,1.8094776,0.979282,1,benign,Preprocessed_Dataset/ddsm/ddsm_8076.jpg,ddsm,train
0.6808405,1.6560433,1.6080346,2.2060077,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5950.jpg,ddsm,train
2.3489635,1.7258161,1.980989,1.0248468,1,benign,Preprocessed_Dataset/ddsm/ddsm_9669.jpg,ddsm,train
1.6496674,1.1385101,0.8560948,1.2708569,2,malignant,Preprocessed_Dataset/cdd-cesm/cdd-cesm_99.jpg,cdd-cesm,train
1.7565844,0.2091173,0.58487344,1.4845854,0,normal,Preprocessed_Dataset/ddsm/ddsm_1543.jpg,ddsm,train
0.5514406,1.5596159,1.6651623,2.2110105,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5572.jpg,ddsm,train
0.46526754,1.3856628,1.4582343,2.2541885,2,malignant,Preprocessed_Dataset/ddsm/ddsm_4055.jpg,ddsm,train
0.9526726,1.2481817,1.6046419,1.5579628,2,malignant,Preprocessed_Dataset/cmmd/cmmd_1719.jpg,cmmd,train
2.8714824,1.1307998,1.7526307,0.26547337,1,benign,Preprocessed_Dataset/cmmd/cmmd_163.jpg,cmmd,train
0.7535846,1.4894918,1.515706,2.1651661,2,malignant,Preprocessed_Dataset/ddsm/ddsm_3896.jpg,ddsm,train
0.5677271,1.5714997,1.4958892,2.2098796,2,malignant,Preprocessed_Dataset/ddsm/ddsm_3149.jpg,ddsm,train
0.6241735,1.4372683,1.4794421,2.2511535,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5254.jpg,ddsm,train
1.7305636,1.157105,1.6393967,1.1145872,2,malignant,Preprocessed_Dataset/cmmd/cmmd_59.jpg,cmmd,train
2.3665752,0.6792404,1.1709462,1.5708532,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_1289.jpg,kau-bcmd,train
0.71200824,1.5283033,1.5849347,2.158898,2,malignant,Preprocessed_Dataset/ddsm/ddsm_3846.jpg,ddsm,train
0.6669798,1.4939183,1.4682015,2.3229208,2,malignant,Preprocessed_Dataset/ddsm/ddsm_6328.jpg,ddsm,train
2.6241715,1.7964263,1.4600885,0.50920856,1,benign,Preprocessed_Dataset/cdd-cesm/cdd-cesm_79.jpg,cdd-cesm,train
1.7306268,0.3103475,0.74564207,1.4421152,0,normal,Preprocessed_Dataset/ddsm/ddsm_2328.jpg,ddsm,train
1.676882,0.31918353,0.85498255,1.5180483,0,normal,Preprocessed_Dataset/ddsm/ddsm_279.jpg,ddsm,train
1.8424388,0.4433807,0.778095,1.4667671,0,normal,Preprocessed_Dataset/ddsm/ddsm_2770.jpg,ddsm,train
1.8139027,0.40424496,0.75360644,1.4292887,0,normal,Preprocessed_Dataset/ddsm/ddsm_2302.jpg,ddsm,train
1.6992214,0.3442158,0.8302104,1.4767072,0,normal,Preprocessed_Dataset/ddsm/ddsm_1227.jpg,ddsm,train
2.4278216,1.6143684,1.8966377,0.941638,1,benign,Preprocessed_Dataset/ddsm/ddsm_6660.jpg,ddsm,train
0.5532402,1.5445313,1.5247242,2.3314,2,malignant,Preprocessed_Dataset/ddsm/ddsm_3726.jpg,ddsm,train
2.3028882,1.571623,1.877854,1.0723206,1,benign,Preprocessed_Dataset/ddsm/ddsm_9187.jpg,ddsm,train
