pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,label,label_name,filename,split
2.1191838,2.3951502,1.4321252,1.0816333,2.1452296,0.49753594,1.3549438,1.485838,1,benign,Preprocessed_Dataset/ddsm/ddsm_8139.jpg,train
0.15079224,1.2973213,1.5161984,1.5474182,1.2060921,1.0887669,1.0992513,1.9452513,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_578.jpg,train
0.6855515,0.873201,1.6072847,0.6475788,1.4251609,0.4914985,1.3696885,1.5604887,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_1449.jpg,train
0.19257832,1.4549096,1.5840127,1.8200359,1.5200938,1.0371513,1.1936392,1.6855233,2,malignant,Preprocessed_Dataset/cmmd/cmmd_57.jpg,train
0.3675984,1.7279712,1.392266,2.1937206,1.7126381,1.1500916,0.99804926,1.8602659,1,benign,Preprocessed_Dataset/dmid/dmid_66.jpg,train
1.668026,2.493898,1.1727906,1.8530283,2.058127,0.99278927,0.78037053,1.4259797,0,normal,Preprocessed_Dataset/ddsm/ddsm_395.jpg,train
1.8772051,2.042281,1.5738817,1.094142,2.032339,0.870046,1.2575282,1.6494895,0,normal,Preprocessed_Dataset/ddsm/ddsm_2631.jpg,train
2.2649922,0.40589243,0.75088865,1.9349808,1.4848789,0.73696953,1.3631892,1.8215934,0,normal,Preprocessed_Dataset/ddsm/ddsm_910.jpg,train
0.23077321,0.85591173,1.4714386,1.2412188,1.6970124,0.98456734,1.4049244,1.6892815,2,malignant,Preprocessed_Dataset/cmmd/cmmd_251.jpg,train
2.44238,0.6598113,1.0888655,2.2501597,1.3896964,0.9982482,1.5070096,1.8481579,1,benign,Preprocessed_Dataset/ddsm/ddsm_8870.jpg,train
2.2557898,0.15899873,0.6784504,1.3657111,1.6394019,0.42772263,1.5272561,1.9228361,0,normal,Preprocessed_Dataset/ddsm/ddsm_202.jpg,train
1.4362301,1.4066069,1.6451585,0.7160287,0.9996694,0.31336248,1.3794292,2.297799,1,benign,Preprocessed_Dataset/ddsm/ddsm_7917.jpg,train
1.6634045,1.9423672,2.3270805,1.8052117,1.3703715,0.6174928,2.1775913,1.9345012,1,benign,Preprocessed_Dataset/ddsm/ddsm_8169.jpg,train
1.8127751,2.1734512,0.704479,1.0439521,1.3883669,1.2354119,0.7228486,0.97621155,2,malignant,Preprocessed_Dataset/ddsm/ddsm_3167.jpg,train
0.943898,0.49401152,1.6230224,0.2975999,1.7478062,1.0099677,1.4095085,1.8021613,0,normal,Preprocessed_Dataset/ddsm/ddsm_1928.jpg,train
2.3154984,0.61715573,0.7743096,2.1010695,1.3053683,1.2460918,1.549401,2.2536674,0,normal,Preprocessed_Dataset/ddsm/ddsm_1382.jpg,train
0.68157834,2.0464191,1.1092935,1.939239,2.0815423,1.503167,0.46300483,1.5841798,0,normal,Preprocessed_Dataset/dmid/dmid_264.jpg,train
2.2692237,0.22928882,1.5323477,2.3546486,2.0610316,1.5306389,2.6897683,0.7468348,1,benign,Preprocessed_Dataset/ddsm/ddsm_8552.jpg,train
2.2021163,2.2233763,0.6402001,0.48804343,1.3688378,1.1713043,0.8643687,1.0896957,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5663.jpg,train
0.2721833,0.8273221,1.5997907,1.1037452,1.7438534,1.0252224,1.2840133,1.8544031,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_1858.jpg,train
