run_tag,model,n_features,n_qubits,feature_map,reps,entanglement,svm_c,multiclass_strategy,n_train_used,n_test,train_accuracy,test_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,wall_time_sec,seed
qsvc_zz_4f_linear_C1.0,QSVC,4,4,zz,2,linear,1.0,ovo,1500,900,0.5753333333333334,0.4555555555555555,0.4559448536827974,0.4555555555555555,0.4544626935878793,0.4559448536827973,0.4555555555555555,0.4544626935878794,3.6,42
exp2_nfeatures_2,QSVC,2,2,zz,2,linear,1.0,ovo,1500,900,0.4806666666666667,0.4555555555555555,0.455970665758763,0.4555555555555555,0.453694788110831,0.4559706657587629,0.4555555555555555,0.453694788110831,1.7,42
exp2_nfeatures_3,QSVC,3,3,zz,2,linear,1.0,ovo,1500,900,0.5093333333333333,0.4611111111111111,0.4640340510862626,0.4611111111111111,0.4585132248008608,0.4640340510862626,0.4611111111111111,0.4585132248008607,2.6,42
exp2_nfeatures_4,QSVC,4,4,zz,2,linear,1.0,ovo,1500,900,0.5753333333333334,0.4555555555555555,0.4559448536827974,0.4555555555555555,0.4544626935878793,0.4559448536827973,0.4555555555555555,0.4544626935878794,3.4,42
exp3_featuremap_angle,QSVC,4,4,angle,2,linear,1.0,ovo,1500,900,0.514,0.4611111111111111,0.4625546437764781,0.4611111111111111,0.4603089108272035,0.4625546437764781,0.4611111111111111,0.4603089108272036,1.8,42
exp3_featuremap_zz,QSVC,4,4,zz,2,linear,1.0,ovo,1500,900,0.5753333333333334,0.4555555555555555,0.4559448536827974,0.4555555555555555,0.4544626935878793,0.4559448536827973,0.4555555555555555,0.4544626935878794,3.4,42
exp3_featuremap_pauli,QSVC,4,4,pauli,2,linear,1.0,ovo,1500,900,0.5786666666666667,0.4455555555555555,0.446266208045373,0.4455555555555555,0.4444767028873769,0.446266208045373,0.4455555555555555,0.4444767028873769,4.9,42
exp4_entanglement_linear,QSVC,4,4,zz,2,linear,1.0,ovo,1500,900,0.5753333333333334,0.4555555555555555,0.4559448536827974,0.4555555555555555,0.4544626935878793,0.4559448536827973,0.4555555555555555,0.4544626935878794,3.5,42
exp4_entanglement_circular,QSVC,4,4,zz,2,circular,1.0,ovo,1500,900,0.5893333333333334,0.4411111111111111,0.4408035083511581,0.441111111111111,0.4387193789390964,0.4408035083511581,0.4411111111111111,0.4387193789390964,4.1,42
exp4_entanglement_full,QSVC,4,4,zz,2,full,1.0,ovo,1500,900,0.594,0.4444444444444444,0.4441257282901972,0.4444444444444444,0.4442248226763293,0.4441257282901972,0.4444444444444444,0.4442248226763292,5.1,42
exp5_svmC_0.1,QSVC,4,4,zz,2,linear,0.1,ovo,1500,900,0.5093333333333333,0.4633333333333333,0.4763987797032643,0.4633333333333334,0.459922664625857,0.4763987797032644,0.4633333333333333,0.459922664625857,3.3,42
exp5_svmC_1.0,QSVC,4,4,zz,2,linear,1.0,ovo,1500,900,0.5753333333333334,0.4555555555555555,0.4559448536827974,0.4555555555555555,0.4544626935878793,0.4559448536827973,0.4555555555555555,0.4544626935878794,3.3,42
exp5_svmC_10.0,QSVC,4,4,zz,2,linear,10.0,ovo,1500,900,0.638,0.4333333333333333,0.4311180726486164,0.4333333333333333,0.43044674623622,0.4311180726486164,0.4333333333333333,0.43044674623622,3.5,42
exp5_svmC_100.0,QSVC,4,4,zz,2,linear,100.0,ovo,1500,900,0.6673333333333333,0.44555555555555554,0.44241762896797976,0.44555555555555554,0.44015374295055837,0.44241762896797976,0.44555555555555554,0.44015374295055837,5.5,42
