pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,label,filename,split
2.9761765,1.2762141,2.304463,2.3624241,2.2233896,0.95719427,2.3169281,3.0092776,0,train_8857.png,train
1.0965898,1.600068,1.3082397,0.0,2.7918315,1.4102149,0.70116866,1.3023956,1,train_2006.png,train
0.37165785,0.6391867,1.0565412,2.2876258,1.5765336,1.4292086,2.459244,1.4793015,1,train_8782.png,train
2.5234766,1.1669431,1.7413677,0.75784194,2.9651208,1.8951933,2.3507245,2.5361514,1,train_1141.png,train
2.2076755,1.8392164,0.89642143,0.31445634,1.0122082,1.9586875,3.1415927,1.0296984,1,train_4968.png,train
1.3087325,1.458838,0.69119734,0.80904764,2.205225,1.5326756,1.8769189,1.582156,0,train_7666.png,train
0.5584725,1.844473,1.858849,1.0015917,0.0,0.59873176,2.572586,0.49526596,0,train_1776.png,train
1.977624,0.85931134,0.23617625,1.7186345,0.9253258,0.016602993,1.1514367,0.29577088,1,train_4287.png,train
2.51895,2.0692701,1.0117515,1.4625412,0.34593415,1.3731184,2.0915499,2.8153172,0,train_6343.png,train
2.0592458,1.1922367,0.9628516,2.8302016,0.9330076,2.2140186,1.3760353,1.507653,1,train_3795.png,train
2.206818,2.4457483,1.5536246,0.7457372,1.0533087,1.5918535,1.1305728,3.0909996,0,train_6718.png,train
2.0843136,2.2665439,0.6718622,0.48163307,1.4259382,1.4057071,1.9397899,2.0783339,0,train_2416.png,train
1.6480907,2.319516,0.89566094,1.4752008,1.1862755,1.5956345,1.6226647,1.9995325,1,train_4983.png,train
0.27638876,0.8931118,1.4250398,2.114241,1.4131963,1.9538407,2.4900215,0.943712,1,train_2765.png,train
0.48338914,2.4241729,1.5946698,1.5986112,2.4048274,0.78996044,2.8020918,0.88672274,1,train_2007.png,train
0.37250835,2.3263416,1.7583516,1.7614671,2.364811,1.0468696,2.6363869,1.8119638,0,train_185.png,train
0.65923387,1.6485156,1.1162556,3.1415927,1.7518746,1.2806197,1.9025558,1.7468508,1,train_9070.png,train
0.49412358,1.800244,1.270347,2.3867502,1.870095,0.13041317,2.420025,2.508654,0,train_4175.png,train
0.21914184,3.0241227,2.7509942,1.1620934,2.8292482,1.3315693,0.5785897,2.250675,0,train_6926.png,train
2.1377757,1.0048275,2.333711,0.057168722,2.2244933,1.3704145,2.063319,0.49169075,1,train_5868.png,train
2.6561444,1.3438387,3.1415925,3.0601778,1.1367472,1.3814524,2.145973,1.8654405,1,train_5652.png,train
1.3664231,2.2243824,0.46504116,2.4845986,1.5075985,0.6634154,2.7527647,2.9575984,0,train_6068.png,train
0.9266138,1.9104849,0.6906606,1.6464252,2.4788215,0.0,2.7106876,2.2390814,0,train_1501.png,train
2.4631498,2.5899076,1.8987619,2.3524,0.59299934,2.5341926,2.3057506,1.9314188,0,train_6864.png,train
0.2625296,0.81294936,1.5162544,0.80613005,1.5853,0.94251764,2.4131446,2.752606,0,train_8047.png,train
0.23231184,0.4811045,1.4502361,0.46302903,1.0499284,1.0994816,2.7897618,2.5955734,0,train_4801.png,train
1.9697723,0.46927524,0.6132255,1.4903332,1.7775445,1.5763793,1.4653127,2.4584332,1,train_9413.png,train
0.628869,1.5874958,1.0114183,2.4334574,2.392594,1.9659677,2.821493,0.0,0,train_2902.png,train
0.1592524,0.9462421,1.6792351,1.3784013,1.4288805,2.1257877,3.0889897,1.6758767,1,train_6240.png,train
0.7085419,0.9656663,0.8323057,2.2704659,1.5685284,1.1622062,1.9802876,1.4745619,1,train_3155.png,train
1.2881774,2.1193457,0.7229125,2.4298708,1.5672789,1.8315802,2.1216235,2.032427,1,train_2274.png,train
2.1598697,0.38542116,1.4623276,1.1513126,3.1415925,0.96753955,2.0368302,2.3841918,1,train_9445.png,train
1.3009785,2.9550934,1.465921,1.7326044,1.3298771,1.5130535,1.424784,2.6723852,0,train_6349.png,train
0.36860096,2.7683132,2.2694142,1.362979,1.961855,0.9329088,1.5037003,2.230926,1,train_7485.png,train
0.29452395,0.0,1.10961,1.2796545,0.85075986,1.2499968,2.327504,2.149624,1,train_8386.png,train
0.88953185,1.9538789,1.0541298,1.782366,2.5150027,1.7658068,2.788631,1.2328513,0,train_5155.png,train
0.041449904,1.242936,2.1667652,0.95072216,0.85261714,1.5551081,2.175099,2.8828092,0,train_294.png,train
2.0149393,2.2164583,0.95075184,0.86871535,1.5133555,1.7378302,2.081083,1.9319404,1,train_29.png,train
2.8056002,1.3441687,2.1894646,1.2792797,1.4354808,0.69605696,2.0371783,1.8335328,1,train_9282.png,train
2.122029,2.5208325,0.5803135,1.4919817,0.6723378,1.0428532,1.9276676,2.0434225,0,train_821.png,train
2.1320958,1.1381958,0.2565986,1.3780174,1.3026217,1.5001197,1.2145278,1.9128245,0,train_5304.png,train
1.6890836,1.6728765,0.2900505,0.9612044,1.4696727,0.69977224,2.035417,1.4561746,1,train_1383.png,train
1.2501357,1.8916677,0.8708537,0.9121964,1.5892698,1.2137028,2.5705304,0.47828245,1,train_4392.png,train
2.6009457,0.29622436,2.6696987,1.4839176,2.8749037,0.990924,1.5282634,0.7782754,1,train_3966.png,train
2.6676254,0.88602936,1.2720394,1.7201532,0.7694822,0.80438733,1.3893952,1.3797737,0,train_2915.png,train
0.35056365,1.5334939,1.4368694,1.7908298,1.9964106,1.5126969,2.8184984,1.6787971,0,train_6037.png,train
2.9272804,1.0699108,2.3690782,1.5808283,2.0442126,0.93812674,2.8076696,2.1156397,1,train_7892.png,train
1.1707268,1.6548771,0.4158439,1.3411916,2.2166502,0.5257453,2.6686459,2.0809605,0,train_6172.png,train
2.2331462,1.2253656,0.7033798,0.612681,2.0174122,1.8138506,1.7091416,1.5187819,1,train_1161.png,train
3.141593,0.9410491,2.939395,1.7263771,1.2651592,0.5606047,2.6689038,1.2803696,0,train_3544.png,train
0.0,1.0084217,2.2659845,1.2000718,0.73530775,2.025208,1.452117,3.1415927,1,train_5413.png,train
1.9476501,1.0655903,0.6842158,1.140185,1.6173282,1.1081629,1.1715729,1.3490163,1,train_8075.png,train
1.553368,1.2610533,0.7387348,1.349806,2.44408,3.1415925,2.5386734,1.4953133,0,train_8787.png,train
2.3060203,2.2109485,1.7929152,1.8927904,1.8852373,3.107968,2.542381,2.3328216,0,train_6999.png,train
1.1937261,1.0733688,0.3098538,1.4456109,2.5357323,1.4827294,2.3115072,2.8250294,1,train_4948.png,train
0.7770954,0.19076514,0.51381475,1.4309416,2.2297642,0.8323967,1.4324954,2.0163121,1,train_5113.png,train
