pc1,pc2,pc3,pc4,label,label_name,filename,split
0.07632041,1.7461815,1.4748611,1.2040545,2,malignant,Preprocessed_Dataset/cmmd/cmmd_3298.jpg,train
1.2952025,1.9849741,1.5191412,1.7424275,1,benign,Preprocessed_Dataset/cdd-cesm/cdd-cesm_920.jpg,train
0.2312082,1.0994945,1.7532964,2.141648,2,malignant,Preprocessed_Dataset/cmmd/cmmd_4631.jpg,train
1.2215426,2.472753,0.6592788,1.0748298,1,benign,Preprocessed_Dataset/ddsm/ddsm_7947.jpg,train
0.13236928,1.9200575,1.4835542,1.0616952,1,benign,Preprocessed_Dataset/cmmd/cmmd_437.jpg,train
2.0273929,1.2806306,2.6081066,1.7860854,1,benign,Preprocessed_Dataset/ddsm/ddsm_8344.jpg,train
0.5818139,0.99944574,2.0243692,2.357287,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_856.jpg,train
0.61030185,2.0362546,2.041854,0.81605446,2,malignant,Preprocessed_Dataset/cmmd/cmmd_3476.jpg,train
1.8288198,2.221731,2.6824675,1.0225923,1,benign,Preprocessed_Dataset/ddsm/ddsm_7677.jpg,train
1.547876,1.9357246,2.1826224,1.786329,2,malignant,Preprocessed_Dataset/ddsm/ddsm_3469.jpg,train
0.5431845,1.6130304,2.0307958,1.6756428,1,benign,Preprocessed_Dataset/kau-bcmd/kau-bcmd_84.jpg,train
2.0392358,0.4960251,1.3312106,1.0153695,0,normal,Preprocessed_Dataset/ddsm/ddsm_482.jpg,train
0.95598054,1.3242766,1.5082103,1.1898589,1,benign,Preprocessed_Dataset/cdd-cesm/cdd-cesm_79.jpg,train
1.8018379,2.9172635,1.098447,1.0620553,0,normal,Preprocessed_Dataset/ddsm/ddsm_2031.jpg,train
1.6052835,1.9491298,2.649652,1.4119562,1,benign,Preprocessed_Dataset/ddsm/ddsm_7053.jpg,train
1.8087837,1.9979129,1.9641832,1.9215676,2,malignant,Preprocessed_Dataset/ddsm/ddsm_3365.jpg,train
0.06265712,1.1362416,1.4786658,1.5895516,2,malignant,Preprocessed_Dataset/cmmd/cmmd_4527.jpg,train
1.8226054,0.39376724,1.89123,1.6933848,0,normal,Preprocessed_Dataset/ddsm/ddsm_968.jpg,train
2.287904,2.589268,2.7343953,1.4165537,1,benign,Preprocessed_Dataset/ddsm/ddsm_9261.jpg,train
0.9801657,2.5758047,1.3420045,0.7457878,1,benign,Preprocessed_Dataset/inbreast/inbreast_107.jpg,train
2.1050744,0.30774152,1.5389965,0.99015564,1,benign,Preprocessed_Dataset/ddsm/ddsm_8064.jpg,train
0.28150994,1.0192919,1.5332403,2.3920293,1,benign,Preprocessed_Dataset/cmmd/cmmd_4378.jpg,train
1.7467844,2.088513,1.9203734,1.9572632,1,benign,Preprocessed_Dataset/ddsm/ddsm_10277.jpg,train
0.15495539,1.8440843,1.4115986,0.97448635,2,malignant,Preprocessed_Dataset/cmmd/cmmd_3427.jpg,train
1.6624911,2.1010659,2.5593188,1.0220263,2,malignant,Preprocessed_Dataset/ddsm/ddsm_4305.jpg,train
